"Group By Week Report for maniac369"
 
 Time Period,Count,Distance,Time,Elevation Gain,Avg Speed,Avg HR,Avg Run Cadence,Avg Bike Cadence,Calories,
 05/23/2011,1,6.22,51:18,136,7.3,--,--,--,674,
 05/16/2011,2,6.03,48:33,217,7.5,--,--,--,647,
 05/09/2011,2,40.32,8:26:19,"6,821",4.8,--,--,--,"4,084",
 05/02/2011,1,8.51,1:12:57,193,7.0,--,--,--,920,
 04/25/2011,1,19.87,5:10:33,"4,434",3.8,--,--,--,"1,977",
 04/18/2011,2,7.73,1:10:14,222,6.6,--,--,--,814,
 04/11/2011,2,10.98,1:53:11,"1,256",5.8,--,--,--,"1,193",
 04/04/2011,1,40.00,8:09:15,"2,319",4.9,--,--,--,"3,668",
 03/28/2011,1,26.20,4:19:00,722,6.1,--,--,--,"2,808",
 03/14/2011,2,10.51,1:33:43,905,6.7,--,--,--,"1,144",
 03/07/2011,1,9.40,1:08:52,603,8.2,--,--,--,"1,016",
 02/28/2011,1,14.81,3:37:43,"2,474",4.1,--,--,--,"1,422",
 02/21/2011,2,12.42,1:55:20,"1,083",6.5,--,--,--,"1,338",
 02/14/2011,3,41.78,7:57:06,"2,484",5.3,--,--,--,"4,081",
 02/07/2011,4,21.64,3:07:24,"1,647",6.9,--,--,--,"2,357",
 01/31/2011,5,20.07,2:56:13,"1,185",6.8,--,--,--,"2,170",
 01/24/2011,5,20.14,2:41:52,440,7.5,--,--,--,"2,167",
 01/17/2011,2,11.48,1:37:24,139,7.1,--,--,--,"1,243",
 01/10/2011,2,7.14,58:57,213,7.3,--,--,--,766,
 01/03/2011,1,10.73,1:51:46,357,5.8,--,--,--,"1,142",
 12/27/2010,1,3.12,32:37,14,5.7,--,--,--,343,
 12/20/2010,1,18.06,3:25:41,419,5.3,--,--,--,"1,909",
 11/22/2010,1,11.09,1:43:05,423,6.5,--,--,--,"1,183",
 11/15/2010,1,3.73,32:40,183,6.9,--,--,--,399,
 11/01/2010,1,5.85,55:07,152,6.4,--,--,--,617,
 10/18/2010,2,52.02,8:26:28,"3,113",6.2,--,--,--,"5,600",
 10/11/2010,2,57.14,10:36:07,"5,718",5.4,--,--,--,"5,971",
 10/04/2010,2,30.14,4:27:49,"1,434",6.8,--,--,--,"3,233",
 09/27/2010,3,10.61,1:33:07,432,6.8,--,--,--,"1,126",
 09/20/2010,2,13.09,2:09:05,"1,188",6.1,--,--,--,"1,380",
 09/06/2010,1,29.96,6:25:25,"7,426",4.7,--,--,--,"3,059",
 08/30/2010,1,30.99,5:46:31,812,5.4,--,--,--,"3,206",
 08/23/2010,2,11.19,1:57:12,"1,273",5.7,--,--,--,"1,218",
 08/16/2010,2,6.34,56:03,314,6.8,--,--,--,676,
 08/09/2010,4,21.20,3:13:42,"2,310",6.6,--,--,--,"2,308",
 08/02/2010,5,26.05,4:07:56,"2,097",6.3,--,--,--,"2,803",
 07/26/2010,3,12.73,1:48:24,"2,840",7.0,--,--,--,"1,370",
 07/19/2010,1,3.95,38:11,132,6.2,--,--,--,414,
 07/12/2010,1,1.02,6:31,0,9.4,--,--,--,108,
 06/14/2010,2,6.63,57:21,194,6.9,--,--,--,708,
 06/07/2010,1,4.04,36:22,162,6.7,--,--,--,429,
 05/31/2010,3,11.31,1:30:50,874,7.5,--,--,--,"1,229",
 05/24/2010,2,4.98,42:23,247,7.1,--,--,--,528,
 05/03/2010,1,30.58,7:02:37,"10,346",4.3,--,--,--,"3,055",
 04/26/2010,1,26.20,4:13:35,--,6.2,--,--,--,--,
 04/12/2010,2,20.28,3:01:39,"1,853",6.7,--,--,--,"2,153",
 04/05/2010,1,35.55,7:26:07,"2,231",4.8,--,--,--,"3,505",
 03/29/2010,3,23.25,2:58:45,"1,046",7.8,--,--,--,"2,497",
 03/15/2010,2,22.81,3:35:17,"3,148",6.4,--,--,--,"2,445",
 03/08/2010,2,21.55,3:12:31,"2,096",6.7,--,--,--,"2,307",
 03/01/2010,1,4.07,33:03,147,7.4,--,--,--,439,
 02/22/2010,1,12.65,2:05:21,"2,864",6.1,--,--,--,"1,383",
 02/15/2010,1,21.19,4:24:22,"2,446",4.8,--,--,--,"2,084",
 02/08/2010,1,6.76,57:22,"1,049",7.1,--,--,--,743,
 01/18/2010,2,15.43,2:06:36,904,7.3,--,--,--,"1,671",
 01/11/2010,1,6.61,58:20,"1,454",6.8,--,--,--,717,
 01/04/2010,1,8.11,1:24:06,"2,200",5.8,--,--,--,850,
 12/28/2009,1,5.75,48:23,308,7.1,--,--,--,619,
 12/21/2009,1,4.90,39:56,345,7.4,--,--,--,525,
 11/23/2009,2,7.01,55:58,144,7.5,--,--,--,751,
 11/16/2009,1,3.61,41:41,85,5.2,--,--,--,352,
 11/09/2009,2,9.27,1:15:03,"1,047",7.4,--,--,--,"1,006",
 11/02/2009,1,3.14,25:30,205,7.4,--,--,--,335,
 10/26/2009,1,4.66,37:11,216,7.5,--,--,--,501,
 10/19/2009,1,26.34,3:58:48,"1,312",6.6,--,--,--,"2,841",
 10/12/2009,1,32.00,7:00:00,--,4.6,--,--,--,--,
 10/05/2009,1,3.50,30:00,--,7.0,--,--,--,--,
 09/28/2009,2,28.91,4:02:26,"1,268",7.2,--,--,--,"2,840",
 09/21/2009,1,2.51,18:29,367,8.1,--,--,--,271,
 09/14/2009,2,7.09,49:37,680,8.6,--,--,--,762,
 09/07/2009,6,35.09,4:41:45,"1,590",7.5,--,--,--,"3,776",
 08/31/2009,1,7.36,1:05:38,"1,413",6.7,--,--,--,796,
 08/24/2009,5,27.10,3:17:02,"2,020",8.3,--,--,--,"2,922",
 08/17/2009,3,16.37,2:14:58,601,7.3,--,--,--,"1,770",
 08/10/2009,6,25.90,3:09:13,"1,623",8.2,--,--,--,"2,783",
 08/03/2009,3,18.52,2:29:15,784,7.4,--,--,--,"1,994",
 07/27/2009,1,10.65,1:25:10,284,7.5,--,--,--,"1,167",
 07/20/2009,4,50.97,9:09:16,"8,435",5.6,--,--,--,"5,115",
 07/13/2009,4,45.36,6:59:50,"9,752",6.5,--,--,--,"4,992",
 07/06/2009,5,34.21,4:51:30,"5,026",7.0,--,--,--,"3,742",
 06/29/2009,4,46.90,7:06:32,"9,985",6.6,--,--,--,"5,030",
 06/22/2009,3,26.10,3:40:09,"4,447",7.1,--,--,--,"2,839",
 06/15/2009,2,10.04,1:18:03,427,7.7,--,--,--,"1,091",
 06/08/2009,2,10.67,1:46:07,"5,805",6.0,--,--,--,"1,219",
 06/01/2009,1,3.43,27:06,371,7.6,--,--,--,370,
 05/25/2009,1,2.31,1:08:19,497,2.0,--,--,--,183,
 05/18/2009,1,28.89,5:23:57,"21,767",5.4,--,--,--,"3,208",
 05/11/2009,1,11.01,1:38:05,--,6.7,--,--,--,"1,209",
 05/04/2009,1,30.66,6:28:56,--,4.7,--,--,--,"3,231",
 04/20/2009,1,5.14,40:19,--,7.6,--,--,--,560,
 04/13/2009,1,9.85,1:24:00,--,7.0,--,--,--,"1,067",
 04/06/2009,1,2.80,21:11,--,7.9,--,--,--,305,
 03/30/2009,1,34.31,5:53:44,--,5.8,--,--,--,"3,634",
 03/23/2009,2,10.16,1:19:31,--,7.7,--,--,--,"1,104",
 03/16/2009,4,28.60,3:54:15,--,7.3,--,--,--,"1,643",
 03/09/2009,6,39.29,5:30:10,--,7.1,--,--,--,"3,946",
 03/02/2009,5,40.34,6:01:44,--,6.7,--,--,--,"4,430",
 02/23/2009,4,26.01,3:30:43,--,7.4,--,--,--,"2,858",
 02/16/2009,3,17.38,2:24:47,--,7.2,--,--,--,"1,880",
 02/09/2009,2,14.49,1:50:11,--,7.9,--,--,--,"1,585",
 02/02/2009,3,43.29,6:58:26,--,6.2,--,--,--,799,
 01/26/2009,1,26.24,3:28:55,--,7.5,--,--,--,"2,907",
 01/19/2009,5,67.31,9:38:42,--,7.0,--,--,--,"4,548",
 01/12/2009,4,21.40,2:47:03,--,7.7,--,--,--,"2,073",
 01/05/2009,5,40.85,5:46:14,--,7.1,--,--,--,"4,550",
 12/29/2008,5,36.46,5:14:50,--,6.9,--,--,--,"3,672",
 12/22/2008,2,10.30,1:51:16,--,5.6,--,--,--,"1,106",
 12/08/2008,3,24.52,3:19:18,--,7.4,--,--,--,"2,710",
 12/01/2008,1,10.00,1:26:30,--,6.9,--,--,--,"1,098",
 11/24/2008,1,5.45,39:49,--,8.2,--,--,--,607,
 11/17/2008,4,28.53,4:05:01,--,7.0,--,--,--,"3,211",
 11/10/2008,4,29.19,3:53:50,--,7.5,--,--,--,"3,232",
 11/03/2008,3,22.25,2:54:44,--,7.6,--,--,--,"2,461",
 10/27/2008,1,5.04,38:17,--,7.9,--,--,--,549,
 10/20/2008,2,52.62,7:54:00,--,6.7,--,--,--,"5,776",
 09/12/2005,1,3.11,19:22,--,9.6,--,--,--,--,
 08/08/2005,1,6.21,41:13,--,9.1,--,--,--,--,
 06/14/2004,1,13.10,1:47:59,--,7.3,--,--,--,--,
 Summary,558,"4,347.25",696:30:37,"401,874",6.2,--,--,--,"426,230",
